id,Address,Response_Address,Response_X,Response_Y,title,hotview,region
1,台北市-中山區 新生北路一段X號,臺北市大安區民輝里19鄰新生北路一段1之1號,121.533172,25.044697,*新生北路大坪數店辦,90 人,中山區
2,台北市-松山區 南京東路四段X號1樓,臺北市松山區美仁里11鄰南京東路四段2之1號,121.550928,25.051424,^ 小巨蛋 正馬路 搶手金店,81 人,松山區
3,台北市-中山區 南京東路一段X號2樓,臺北市中山區正得里15鄰南京東路一段2之1號,121.522919,25.05203,南京西美二樓,91 人,中山區
4,台北市-大安區 敦化南路一段270巷X號,臺北市大安區仁愛里23鄰敦化南路一段270巷12之1號,121.547996,25.038654,#NAME?,61 人,大安區
5,台北市-中山區 林森北路85巷X號,臺北市中山區正義里6鄰林森北路85巷85號,121.527815,25.049199,#林森長安條通店面,75 人,中山區
6,台北市-大安區 忠孝東路四段X號2樓,臺北市大安區仁愛里1鄰忠孝東路四段2之1號,121.54399,25.041391,^ 正東區 可餐\\\\\\\飲 氣派三,68 人,大安區
7,台北市-大安區 信義路四段30巷X號,臺北市大安區住安里5鄰信義路四段30巷30之1號,121.544528,25.032233,?信義路四段30巷稀有低租金店面,58 人,大安區
8,台北市-士林區 文林路X號,臺北市士林區仁勇里1鄰文林路32之1號,121.525764,25.086654,?士林觀光夜市文林路金店面,51 人,士林區
9,台北市-中正區 濟南路二段X之X號1樓,臺北市中正區文北里17鄰濟南路二段2之1號,121.526324,25.041449,#NAME?,70 人,中正區
10,台北市-大安區 建國南路二段X號1樓,臺北市大安區龍圖里2鄰建國南路二段3之1號,121.538203,25.033078,#NAME?,88 人,大安區
11,台北市-大安區 敦化南路一段187巷X號1樓,臺北市大安區建安里12鄰敦化南路一段187巷45之1號,121.551437,25.042759,#NAME?,64 人,大安區
12,台北市-大安區 龍泉街X號1樓,臺北市大安區龍泉里10鄰龍泉街19之1號,121.529402,25.02486,#NAME?,92 人,大安區
13,台北市-北投區 西安街一段X號,臺北市北投區建民里19鄰西安街一段15號,121.520186,25.107284,明德捷運站旁超便宜店面,92 人,北投區
14,台北市-松山區 南京東路五段X號,臺北市松山區吉祥里18鄰南京東路五段2之1號,121.558091,25.05132,^ 南京三民捷運 市場內 人潮金店,100 人,松山區
15,台北市-信義區 信義路四段X號1樓,臺北市大安區仁慈里3鄰信義路四段1之10號,121.544127,25.033562,^ 世貿商圈 面寬 人潮多,99 人,信義區
16,台北市-大安區 仁愛路四段27巷X之X號,臺北市大安區仁愛里7鄰仁愛路四段27巷27號,121.545591,25.040403,!大安名人巷 優質三角窗,79 人,大安區
17,台北市-大安區 安和路二段X號1樓,臺北市大安區通安里6鄰安和路二段51之1號,121.552583,25.031251,^ 信義安和捷運 三角窗,87 人,大安區
18,台北市-中山區 民生東路三段28號1樓,臺北市中山區朱馥里12鄰民生東路三段28號,121.539354,25.057636,民生東路合江街路口三角旺鋪,100 人,中山區
19,台北市-中山區 長安東路二段X號,臺北市中山區興亞里11鄰長安東路二段6之1號,121.530307,25.048402,@a長安伊通 大馬路大面寬 氣派餐\\\,96 人,中山區
20,台北市-信義區 莊敬路X號,臺北市信義區景聯里13鄰莊敬路190之1號,121.561134,25.030699,** 信義區近世貿大面寬金店,73 人,信義區
21,台北市-信義區 莊敬路X號,臺北市信義區景聯里13鄰莊敬路190之1號,121.561134,25.030699,** 信義區 北醫商圈  優質店面,91 人,信義區
22,台北市-中山區 民生東路二段X號,臺北市中山區中原里11鄰民生東路二段42之1號,121.529165,25.05787,@K民生東路上 近行天宮捷運 優質店面,72 人,中山區
23,台北市-中山區 復興北路X號,臺北市松山區中正里14鄰復興北路15之1號,121.544268,25.048715,@Y南京復興站 人潮小金店,95 人,中山區
24,台北市-大同區 華陰街X號1樓,臺北市中山區民安里1鄰華陰街3之1號,121.520682,25.049055,@a台北車站 京站出口 精美店辦,74 人,大同區
25,台北市-中山區 南京東路一段X號1樓,臺北市中山區正得里15鄰南京東路一段2之1號,121.522919,25.05203,@a 林森南京路口 漂亮三角窗金店面,65 人,中山區
26,台北市-大安區 復興南路一段X號,臺北市松山區中崙里1鄰復興南路一段1之1號,121.544131,25.047256,@a大安捷運站 面寬 人潮 金店面,52 人,大安區
27,台北市-中正區 寧波西街X號,臺北市中正區南福里24鄰寧波西街4之1號,121.518813,25.031389,H 南門市場 金店面,51 人,中正區
28,台北市-大安區 敦化南路一段X號1樓,臺北市松山區福成里1鄰敦化南路一段2之1號,121.548478,25.047618,Y近仁愛圓環順向邊間大面寬精品首選,54 人,大安區
29,台北市-松山區 復興北路X號,臺北市松山區中正里14鄰復興北路15之1號,121.544268,25.048715,@@ 復興北路人潮錢潮金店面,81 人,松山區
30,台北市-松山區 南京東路三段X號,臺北市中山區力行里28鄰南京東路三段28之1號,121.537948,25.051784,@@ 南京東路面寬人多金店面,59 人,松山區
31,台北市-中山區 南京東路三段X號2樓,臺北市中山區力行里28鄰南京東路三段28之1號,121.537948,25.051784,@@南京東路捷運 兄弟飯店商圈 2F金店,60 人,中山區
32,台北市-大安區 忠孝東路四段X號,臺北市大安區仁愛里1鄰忠孝東路四段2之1號,121.54399,25.041391,@@ 神旺飯店周邊 庭院漂亮金店面,96 人,大安區
33,台北市-大安區 復興南路二段X號,臺北市大安區住安里1鄰復興南路二段11之1號,121.543792,25.032595,H雙捷金店面 面寬6米,60 人,大安區
34,台北市-信義區 忠孝東路五段X號,臺北市信義區興雅里1鄰忠孝東路五段1之10號,121.565242,25.041292,**永春挑高金店面,68 人,信義區
35,台北市-中正區 新生南路一段X號,臺北市中正區梅花里13鄰新生南路一段6之10號,121.532475,25.043796,@K光華商場燙金店面,79 人,中正區
36,台北市-內湖區 東湖路X號,臺北市內湖區安湖里1鄰東湖路11之1號,121.612784,25.068946,#NAME?,77 人,內湖區
37,台北市-信義區 莊敬路X號,臺北市信義區景聯里13鄰莊敬路190之1號,121.561134,25.030699,@K台北醫學院商圈 大面寬金店面,97 人,信義區
38,台北市-大安區 大安路一段X號,臺北市大安區光武里17鄰大安路一段2之1號,121.546008,25.044847,@@ 東區稀有 大坪數金店面,64 人,大安區
39,台北市-大安區 師大路X號,臺北市大安區龍泉里2鄰師大路45之1號,121.528652,25.024416,H 師大商圈 合法商業區,96 人,大安區
