V1,V2,V3,V4,V5,V6
頂埔站出口1,1,121.418218,24.959306,2,2
頂埔站出口2,2,121.419,24.95931,3,3
頂埔站出口3,3,121.4196,24.95962,4,4
頂埔站出口4,4,121.4201,24.96039,5,5
松山機場站出口1,1,121.552335,25.063717,6,6
松山機場站出口2,2,121.551294,25.063673,7,7
松山機場站出口3,3,121.552241,25.062923,8,8
中山國中站出口,0,121.544031,25.060889,9,9
忠孝復興站出口1,1,121.543143,25.041797,10,10
忠孝復興站出口2,2,121.543422,25.041355,11,11
忠孝復興站出口3,3,121.544806,25.041467,12,12
忠孝復興站出口4,4,121.54506,25.041772,13,13
忠孝復興站出口5,5,121.543985,25.04202,14,14
大安站出口1,1,121.541949,25.033508,15,15
大安站出口2,2,121.541826,25.033515,16,16
大安站出口3,3,121.54233,25.033241,17,17
大安站出口4,4,121.544057,25.033066,18,18
大安站出口5,5,121.543719,25.032862,19,19
大安站出口6,6,121.543749,25.034006,20,20
科技大樓站出口,0,121.543636,25.026154,21,21
六張犁站出口,0,121.552737,25.023852,22,22
麟光站出口,0,121.558606,25.018554,23,23
辛亥站出口,0,121.557021,25.005119,24,24
萬芳醫院站出口,0,121.557737,24.999383,25,25
萬芳社區站出口,0,121.568409,24.99858,26,26
木柵站出口,0,121.573417,24.998174,27,27
動物園站出口1,1,121.579916,24.99825,28,28
動物園站出口2,2,121.579417,24.997948,29,29
大直站出口1,1,121.547104,25.080118,30,30
大直站出口2,2,121.546823,25.079584,31,31
大直站出口3,3,121.546901,25.07931,32,32
劍南路站出口1,1,121.555226,25.085174,33,33
劍南路站出口2,2,121.555097,25.084754,34,34
劍南路站出口3,3,121.556098,25.084484,35,35
西湖站出口1,1,121.566647,25.082339,36,36
西湖站出口2,2,121.567141,25.082023,37,37
港墘站出口1,1,121.57556,25.080152,38,38
港墘站出口2,2,121.574704,25.080065,39,39
文德站出口1,1,121.58564,25.078671,40,40
文德站出口2,2,121.58447,25.078408,41,41
內湖站出口1,1,121.594266,25.083745,42,42
內湖站出口2,2,121.594612,25.083636,43,43
大湖公園站出口1,1,121.602377,25.083894,44,44
大湖公園站出口2,2,121.60221,25.083675,45,45
葫洲站出口1,1,121.608047,25.072638,46,46
葫洲站出口2,2,121.607197,25.072534,47,47
東湖站出口1,1,121.611129,25.067218,48,48
東湖站出口2,2,121.611239,25.067111,49,49
東湖站出口3,3,121.611724,25.067053,50,50
南港軟體園區站出口1,1,121.615817,25.059995,51,51
南港軟體園區站出口2,2,121.616091,25.059883,52,52
南港展覽館站出口1,1,121.616936,25.055847,53,53
南港展覽館站出口2,2,121.616984,25.055308,54,54
南港展覽館站出口3,3,121.618239,25.055123,55,55
南港展覽館站出口4,4,121.618266,25.055386,56,56
南港展覽館站出口2A,2A,121.617043,25.05524,57,57
南港展覽館站出口5,5,121.616861,25.054917,58,58
南港展覽館站出口6,6,121.618183,25.054739,59,59
南港展覽館站出口7,7,121.618148,25.054035,60,60
小碧潭站出口1,1,121.530311,24.971684,61,61
小碧潭站出口2,2,121.52995,24.973192,62,62
新店站出口,0,121.537558,24.957877,63,63
新店區公所站出口1,1,121.541124,24.967393,64,64
新店區公所站出口2,2,121.541845,24.967986,65,65
七張站出口1,1,121.543068,24.975025,66,66
七張站出口2,2,121.542641,24.97691,67,67
大坪林站出口1,1,121.540874,24.982754,68,68
大坪林站出口2,2,121.541619,24.982051,69,69
大坪林站出口3,3,121.541572,24.982982,70,70
大坪林站出口4,4,121.541405,24.983539,71,71
景美站出口1,1,121.540933,24.992296,72,72
景美站出口2,2,121.541517,24.993069,73,73
景美站出口3,3,121.540546,24.992744,74,74
萬隆站出口1,1,121.538896,25.001367,75,75
萬隆站出口2,2,121.539613,25.00151,76,76
萬隆站出口3,3,121.539195,25.002215,77,77
萬隆站出口4,4,121.538572,25.002676,78,78
公館站出口1,1,121.534377,25.014509,79,79
公館站出口2,2,121.534721,25.014718,80,80
公館站出口3,3,121.534055,25.015413,81,81
公館站出口4,4,121.533623,25.015148,82,82
台電大樓站出口1,1,121.528577,25.01962,83,83
台電大樓站出口2,2,121.529093,25.020192,84,84
台電大樓站出口3,3,121.527849,25.021179,85,85
台電大樓站出口4,4,121.527297,25.021018,86,86
台電大樓站出口5,5,121.527739,25.020758,87,87
古亭站出口1,1,121.522973,25.025976,88,88
古亭站出口2,2,121.523353,25.025502,89,89
古亭站出口3,3,121.523353,25.026078,90,90
古亭站出口4,4,121.523069,25.026424,91,91
古亭站出口5,5,121.522873,25.027184,92,92
古亭站出口6,6,121.522297,25.027537,93,93
古亭站出口7,7,121.521937,25.02742,94,94
古亭站出口8,8,121.521894,25.027056,95,95
古亭站出口9,9,121.522404,25.026798,96,96
