ID,Address,Response_Address,Response_X,Response_Y,region
3,忠誠門市,台北市士林區士東路123號,25.1124713,121.5305714,台北市士林區
4,天母崇光門市,台北市士林區中山北路六段77號B1,25.1047446,121.5245359,台北市士林區
5,士捷門市,台北市士林區中正路239號(近士林捷運站出口),25.0951597,121.5258922,台北市士林區
6,新天母門市,台北市士林區天母西路33號1樓,25.1185801,121.527706,台北市士林區
7,天母忠誠門市,台北市士林區天母東路67-1號1樓,25.1182618,121.5343606,台北市士林區
8,士林門市,台北市士林區文林路122號1樓,25.0883568,121.5264598,台北市士林區
9,士林承德門市,台北市士林區承德路四段67號,25.0817039,121.523222,台北市士林區
10,京站門市,台北市大同區承德路一段1號,25.049308,121.5171935,台北市大同區
11,京站二門市,台北市大同區承德路一段1號 (京站百貨4 F),25.049308,121.5171935,台北市大同區
12,保安門市,台北市大同區保安街11號,25.059254,121.51321,台北市大同區
13,南西門市,台北市大同區南京西路27號,25.0528564,121.5202136,台北市大同區
14,台北圓環門市,台北市大同區南京西路288號,25.053927,121.513958,台北市大同區
15,庫倫承德門市,台北市大同區庫倫街51號,25.0720501,121.5192592,台北市大同區
16,通化門市,台北市大安區文昌街209號,25.032484,121.5544423,台北市大安區
17,華視門市,台北市大安區光復南路180巷14號(華視停車場旁),25.042527,121.556936,台北市大安區
18,辛亥門市,台北市大安區辛亥路二段175號1樓,25.0217679,121.541244,台北市大安區
19,和平門市,台北市大安區和平東路一段2號(古亭站四號出口),25.0268606,121.5229752,台北市大安區
20,建和門市,台北市大安區和平東路二段42-1號,25.025448,121.537214,台北市大安區
21,仁愛延吉門市,台北市大安區延吉街175號,25.0383322,121.5553811,台北市大安區
22,崇興門市,台北市大安區忠孝東路三段300號B2,25.041211,121.5432512,台北市大安區
23,龍門門市,台北市大安區忠孝東路四段134號,25.041327,121.54837,台北市大安區
24,同領門市,台北市大安區忠孝東路四段201號,25.0416768,121.551655,台北市大安區
25,崇光門市,台北市大安區忠孝東路四段45號B1,25.0419689,121.5449021,台北市大安區
26,師大雲和門市,台北市大安區師大路74號,25.023559,121.528196,台北市大安區
27,復安門市,台北市大安區復興南路一段135巷9號,25.0427452,121.5448337,台北市大安區
28,興南門市,台北市大安區復興南路一段323號1樓,25.0336797,121.5438918,台北市大安區
29,興和門市,台北市大安區復興南路二段275號1樓(近捷運木柵線科技大樓站),25.0254287,121.5436729,台北市大安區
30,敦誠門市,台北市大安區敦化南路一段245號G樓,25.0394894,121.5493278,台北市大安區
31,敦南門市,台北市大安區敦化南路二段101號1樓,25.028745,121.549348,台北市大安區
32,敦和門市,台北市大安區敦化南路二段263號,25.0255174,121.548978,台北市大安區
33,敦富門市,台北市大安區敦化南路二段59號1樓(近敦化南路信義路口),25.0310651,121.5491363,台北市大安區
34,羅斯福門市,台北市大安區羅斯福路三段301號,25.0174909,121.531868,台北市大安區
35,公館門市,台北市大安區羅斯福路四段26號1樓,25.013907,121.5353546,台北市大安區
36,實踐,台北市中山區大直街70號1樓(實踐大學後門),25.0858404,121.5456131,台北市中山區
37,中山門市,台北市中山區中山北路二段171號,25.0629676,121.5228576,台北市中山區
38,馬偕門市,台北市中山區民生西路7號,25.0579712,121.5216856,台北市中山區
39,龍權門市,台北市中山區民權東路三段22號1樓(民權東路與龍江路口),25.0623022,121.5372614,台北市中山區
40,民權門市,台北市中山區民權東路三段88號1樓,25.0619944,121.5439913,台北市中山區
41,松江門市,台北市中山區松江路206號1樓,25.0578266,121.5328249,台北市中山區
42,松安門市,台北市中山區松江路61-1號1樓,25.0487401,121.5331631,台北市中山區
43,林森門市,台北市中山區林森北路247號1樓,25.0541257,121.5258274,台北市中山區
44,南京林森門市,台北市中山區南京東路一段52號,25.0519412,121.5246386,台北市中山區
